0.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02
5.073227604419999892e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.178079685269999999e+01 8.613970000000000127e+00 1.595999999999999849e-02
5.290997310809999732e+01 8.613970000000000127e+00 1.631000000000000158e-02
5.403914936350000175e+01 8.613970000000000127e+00 1.665000000000000160e-02
5.508767017200000282e+01 8.613970000000000127e+00 1.700000000000000122e-02
5.621684642740000015e+01 8.613979999999999748e+00 1.735000000000000084e-02
5.734602268270000280e+01 8.613979999999999748e+00 1.769000000000000086e-02
5.839454349129999855e+01 8.613979999999999748e+00 1.804000000000000048e-02
5.952371974660000120e+01 8.613979999999999748e+00 1.839000000000000010e-02
6.065289600199999853e+01 8.613979999999999748e+00 1.873999999999999971e-02
6.170141681049999960e+01 8.613989999999999370e+00 1.907999999999999974e-02
6.283059306589999693e+01 8.613989999999999370e+00 1.942999999999999935e-02
6.395976932119999958e+01 8.613989999999999370e+00 1.977999999999999897e-02
6.500829012980000243e+01 8.613989999999999370e+00 2.011999999999999900e-02
6.613746638509999798e+01 8.613989999999999370e+00 2.046999999999999861e-02
6.726664264049999531e+01 8.614000000000000767e+00 2.082000000000000170e-02
6.831516344899999638e+01 8.614000000000000767e+00 2.116000000000000172e-02
6.944433970439999371e+01 8.614000000000000767e+00 2.151000000000000134e-02
7.057351595970000346e+01 8.614000000000000767e+00 2.186000000000000096e-02
7.162203676830000632e+01 8.614000000000000767e+00 2.220000000000000098e-02
7.275121302360000186e+01 8.614010000000000389e+00 2.255000000000000060e-02
7.388038927899999919e+01 8.614010000000000389e+00 2.290000000000000022e-02
7.492891008750000026e+01 8.614010000000000389e+00 2.324999999999999983e-02
7.605808634289999759e+01 8.614010000000000389e+00 2.358999999999999986e-02
7.718726259829999492e+01 8.614020000000000010e+00 2.393999999999999947e-02
7.823578340679999599e+01 8.614020000000000010e+00 2.428999999999999909e-02
7.936495966219999332e+01 8.614020000000000010e+00 2.462999999999999912e-02
8.049413591750000307e+01 8.614020000000000010e+00 2.497999999999999873e-02
8.154265672610000593e+01 8.614029999999999632e+00 2.532999999999999835e-02
8.267183298140000147e+01 8.614029999999999632e+00 2.566999999999999837e-02
8.380100923679999880e+01 8.614029999999999632e+00 2.602000000000000146e-02
8.484953004529999987e+01 8.614029999999999632e+00 2.637000000000000108e-02
8.597870630069999720e+01 8.614039999999999253e+00 2.672000000000000069e-02
8.710788255600000696e+01 8.614039999999999253e+00 2.706000000000000072e-02
8.815640336459999560e+01 8.614039999999999253e+00 2.741000000000000034e-02
8.928557961990000535e+01 8.614050000000000651e+00 2.775999999999999995e-02
9.033410042849999400e+01 8.614050000000000651e+00 2.809999999999999998e-02
9.146327668380000375e+01 8.614050000000000651e+00 2.844999999999999959e-02
9.259245293920000108e+01 8.614050000000000651e+00 2.879999999999999921e-02
9.372162919449999663e+01 8.614060000000000272e+00 2.913999999999999924e-02
9.477015000309999948e+01 8.614060000000000272e+00 2.948999999999999885e-02
9.589932625839999503e+01 8.614060000000000272e+00 2.983999999999999847e-02
9.694784706699999788e+01 8.614069999999999894e+00 3.019000000000000156e-02
9.807702332229999342e+01 8.614069999999999894e+00 3.053000000000000158e-02
9.920619957770000497e+01 8.614069999999999894e+00 3.088000000000000120e-02
1.002547203860000025e+02 8.614079999999999515e+00 3.123000000000000081e-02
1.013838966419999963e+02 8.614079999999999515e+00 3.157000000000000084e-02
1.025130728970000007e+02 8.614079999999999515e+00 3.191999999999999699e-02
1.036422491520000051e+02 8.614089999999999137e+00 3.227000000000000007e-02
1.046907699610000009e+02 8.614089999999999137e+00 3.261000000000000010e-02
1.058199462160000053e+02 8.614089999999999137e+00 3.296000000000000318e-02
1.068684670250000011e+02 8.614100000000000534e+00 3.330999999999999933e-02
1.079976432800000055e+02 8.614100000000000534e+00 3.366000000000000242e-02
1.091268195349999957e+02 8.614100000000000534e+00 3.400000000000000244e-02
1.102559957910000037e+02 8.614110000000000156e+00 3.434999999999999859e-02
1.113045165989999958e+02 8.614110000000000156e+00 3.470000000000000168e-02
1.124336928550000039e+02 8.614110000000000156e+00 3.504000000000000170e-02
1.135628691099999941e+02 8.614119999999999777e+00 3.538999999999999785e-02
1.146113899190000041e+02 8.614119999999999777e+00 3.574000000000000093e-02
1.157405661739999942e+02 8.614119999999999777e+00 3.608999999999999708e-02
1.167890869830000042e+02 8.614129999999999399e+00 3.642999999999999711e-02
1.179182632379999944e+02 8.614129999999999399e+00 3.678000000000000019e-02
1.190474394929999988e+02 8.614140000000000796e+00 3.713000000000000328e-02
1.200959603019999946e+02 8.614140000000000796e+00 3.747000000000000330e-02
1.212251365569999990e+02 8.614140000000000796e+00 3.781999999999999945e-02
1.223543128120000034e+02 8.614150000000000418e+00 3.817000000000000254e-02
1.234028336209999992e+02 8.614150000000000418e+00 3.851000000000000256e-02
1.245320098760000036e+02 8.614150000000000418e+00 3.885999999999999871e-02
1.256611861319999974e+02 8.614160000000000039e+00 3.921000000000000180e-02
1.267097069400000038e+02 8.614160000000000039e+00 3.955999999999999794e-02
1.278388831959999976e+02 8.614169999999999661e+00 3.989999999999999797e-02
1.289680594509999878e+02 8.614169999999999661e+00 4.025000000000000105e-02
1.300165802600000120e+02 8.614169999999999661e+00 4.059999999999999720e-02
1.311457565149999880e+02 8.614179999999999282e+00 4.093999999999999723e-02
1.322749327699999924e+02 8.614179999999999282e+00 4.129000000000000031e-02
1.333234535789999882e+02 8.614190000000000680e+00 4.164000000000000340e-02
