#First row: Temperature [K]; First column: Frequency [cm-1]

103.642249152,8.61409,9.99762,11.56295,9.23324,-93.37336,-127.5332,-105.03126,-94.36366,-49.59249
104.690769961,8.61409,9.99747,11.56253,9.23326,-93.2841,-127.40756,-104.9596,-94.2953,-49.56869
105.819946216,8.61409,9.99732,11.5621,9.23327,-93.19432,-127.28128,-104.88753,-94.22655,-49.54473
106.868467025,8.6141,9.99717,11.56166,9.23329,-93.10404,-127.15438,-104.81504,-94.15741,-49.52063
107.99764328,8.6141,9.99702,11.56122,9.23331,-93.01326,-127.02686,-104.74215,-94.08788,-49.49639
109.126819535,8.6141,9.99686,11.56078,9.23332,-92.92197,-126.89872,-104.66886,-94.01796,-49.472
110.255995791,8.61411,9.9967,11.56033,9.23334,-92.83019,-126.76996,-104.59515,-93.94767,-49.44746
111.304516599,8.61411,9.99655,11.55988,9.23335,-92.73791,-126.6406,-104.52104,-93.87698,-49.42279
112.433692855,8.61411,9.99639,11.55943,9.23337,-92.64514,-126.51062,-104.44653,-93.80592,-49.39796
113.56286911,8.61412,9.99622,11.55897,9.23339,-92.55188,-126.38005,-104.37162,-93.73448,-49.373
114.611389919,8.61412,9.99606,11.55851,9.2334,-92.45813,-126.24888,-104.29631,-93.66266,-49.34789
115.740566174,8.61412,9.9959,11.55804,9.23342,-92.3639,-126.11711,-104.22061,-93.59047,-49.32264
116.789086983,8.61413,9.99573,11.55757,9.23344,-92.26918,-125.98476,-104.1445,-93.5179,-49.29724
117.918263238,8.61413,9.99557,11.5571,9.23345,-92.17398,-125.85182,-104.06801,-93.44496,-49.27171
119.047439493,8.61414,9.9954,11.55663,9.23347,-92.0783,-125.7183,-103.99112,-93.37165,-49.24603
120.095960302,8.61414,9.99523,11.55614,9.23349,-91.98215,-125.58421,-103.91384,-93.29797,-49.22021
121.225136557,8.61414,9.99506,11.55566,9.2335,-91.88552,-125.44955,-103.83617,-93.22393,-49.19426
122.354312812,8.61415,9.99489,11.55517,9.23352,-91.78843,-125.31432,-103.75811,-93.14951,-49.16816
123.402833621,8.61415,9.99471,11.55468,9.23354,-91.69086,-125.17852,-103.67968,-93.07474,-49.14192
124.532009876,8.61415,9.99454,11.55418,9.23356,-91.59283,-125.04217,-103.60085,-92.9996,-49.11555
125.661186132,8.61416,9.99436,11.55368,9.23357,-91.49434,-124.90526,-103.52165,-92.9241,-49.08904
126.70970694,8.61416,9.99418,11.55318,9.23359,-91.39539,-124.76781,-103.44206,-92.84825,-49.06239
127.838883196,8.61417,9.994,11.55267,9.23361,-91.29598,-124.62981,-103.3621,-92.77203,-49.0356
128.968059451,8.61417,9.99382,11.55216,9.23363,-91.19612,-124.49126,-103.28176,-92.69546,-49.00867
130.01658026,8.61417,9.99364,11.55165,9.23365,-91.0958,-124.35218,-103.20104,-92.61854,-48.98161
131.145756515,8.61418,9.99346,11.55113,9.23366,-90.99503,-124.21257,-103.11996,-92.54127,-48.95441
132.27493277,8.61418,9.99327,11.55061,9.23368,-90.89382,-124.07243,-103.0385,-92.46365,-48.92708
133.323453579,8.61419,9.99309,11.55008,9.2337,-90.79216,-123.93177,-102.95667,-92.38568,-48.89961
134.452629834,8.61419,9.9929,11.54955,9.23372,-90.69006,-123.79059,-102.87447,-92.30736,-48.87201
135.58180609,8.6142,9.99271,11.54902,9.23374,-90.58753,-123.6489,-102.79191,-92.2287,-48.84427
136.630326898,8.6142,9.99252,11.54848,9.23376,-90.48455,-123.50669,-102.70899,-92.1497,-48.8164
137.759503153,8.6142,9.99233,11.54794,9.23378,-90.38114,-123.36398,-102.6257,-92.07035,-48.7884
138.888679409,8.61421,9.99214,11.5474,9.2338,-90.2773,-123.22076,-102.54206,-91.99067,-48.76026
139.937200217,8.61421,9.99194,11.54685,9.23382,-90.17304,-123.07705,-102.45805,-91.91065,-48.73199
141.066376473,8.61422,9.99174,11.5463,9.23384,-90.06834,-122.93285,-102.37369,-91.83029,-48.70359
142.195552728,8.61422,9.99155,11.54574,9.23386,-89.96323,-122.78816,-102.28897,-91.7496,-48.67506
143.244073537,8.61423,9.99135,11.54518,9.23387,-89.85769,-122.64298,-102.20391,-91.66858,-48.6464
144.373249792,8.61423,9.99115,11.54462,9.23389,-89.75173,-122.49733,-102.11849,-91.58722,-48.61761
145.502426047,8.61424,9.99095,11.54405,9.23391,-89.64536,-122.3512,-102.03272,-91.50554,-48.58869
146.550946856,8.61424,9.99074,11.54348,9.23393,-89.53858,-122.20459,-101.9466,-91.42354,-48.55963
147.680123111,8.61425,9.99054,11.5429,9.23395,-89.43139,-122.05753,-101.86014,-91.34121,-48.53046
148.809299367,8.61425,9.99033,11.54232,9.23398,-89.32379,-121.91,-101.77333,-91.25855,-48.50115
149.857820175,8.61426,9.99013,11.54174,9.234,-89.21579,-121.76201,-101.68618,-91.17558,-48.47171
150.98699643,8.61426,9.98992,11.54116,9.23402,-89.10738,-121.61357,-101.5987,-91.09228,-48.44215
152.116172686,8.61426,9.98971,11.54057,9.23404,-88.99858,-121.46468,-101.51087,-91.00867,-48.41246
153.164693494,8.61427,9.98949,11.53997,9.23406,-88.88938,-121.31534,-101.42271,-90.92474,-48.38264
154.29386975,8.61427,9.98928,11.53938,9.23408,-88.77978,-121.16557,-101.33421,-90.8405,-48.3527
155.423046005,8.61428,9.98907,11.53878,9.2341,-88.6698,-121.01535,-101.24538,-90.75595,-48.32264
156.471566814,8.61428,9.98885,11.53817,9.23412,-88.55943,-120.86471,-101.15622,-90.67108,-48.29245
157.600743069,8.61429,9.98864,11.53756,9.23414,-88.44867,-120.71364,-101.06673,-90.58591,-48.26213
158.729919324,8.61429,9.98842,11.53695,9.23416,-88.33753,-120.56215,-100.97692,-90.50044,-48.23169
159.778440133,8.6143,9.9882,11.53634,9.23419,-88.22601,-120.41024,-100.88678,-90.41465,-48.20113
160.907616388,8.6143,9.98798,11.53572,9.23421,-88.11411,-120.25791,-100.79631,-90.32857,-48.17045
162.036792644,8.61431,9.98775,11.53509,9.23423,-88.00184,-120.10517,-100.70553,-90.24219,-48.13964
163.085313452,8.61431,9.98753,11.53447,9.23425,-87.8892,-119.95203,-100.61442,-90.1555,-48.10871
