#Freq [cm-1]; eps1; eps2

686.086815965	-100.3883829	782.40444297
677.228445785	-102.6560213	871.175908383
694.83371978	-96.79115332	736.30615003
708.004889035	-92.00144609	706.475730948
700.680288295	-94.57549316	720.765099091
720.410439775	-90.07160929	682.995310241
727.16578862	-86.70369094	670.64001302
712.216061045	-88.2671029	698.393333802
742.00187228	-83.78461735	651.131337637
753.914659585	-81.97337385	637.72432198
771.851058285	-80.05817388	615.237643592
783.705930825	-77.55606435	598.99774825
796.624334915	-73.34901465	583.353310336
792.60365014	-75.75769345	588.017038277
819.35317437	-71.03519748	557.850069568
852.398197275	-69.4519048	530.634200131
875.75562283	-67.44053697	508.30881616
888.843190295	-65.25133747	494.254410046
904.35943573	-63.24997505	478.655782905
924.056367475	-60.74828828	465.323707803
947.998884585	-58.52056852	449.391014006
974.96675256	-56.40250712	430.378129059
994.06568875	-53.96335683	417.724836745
1013.79736452	-51.87618967	405.014633342
1037.76283461	-49.92220928	388.757443682
1067.80545158	-48.50299762	374.342375588
1097.82730924	-46.83611701	361.333530666
1127.83168197	-44.96067307	347.631028589
1163.88588542	-43.29411766	328.693701352
1193.88588692	-41.36653289	314.680884462
1223.87714597	-39.33466646	302.681995203
1259.97724733	-38.21558978	290.236922395
1296.09483361	-37.30507644	279.041223915
1332.15996513	-35.76887311	268.916476107
1368.26006648	-34.64979644	260.360616377
1404.32738362	-33.13966353	251.048345064
1440.42311375	-31.96844602	241.860460683
1476.53414318	-30.97972143	233.083414178
1512.66702877	-30.251701	224.867276429
1548.7780582	-29.26297641	217.501904077
1584.89783816	-28.37853348	211.13996267
1621.01979567	-27.52016097	205.45086938
1657.15268126	-26.79214053	199.132227263
1693.27901	-25.98590885	192.521577081
1729.43375173	-25.51859258	186.18159941
1765.58412224	-24.99913548	180.207301594
1801.72137905	-24.32325588	174.514127551
1837.84552218	-23.49095378	168.720915355
1873.98278706	-22.81507418	163.319162389
1910.12004387	-22.13919458	158.388758806
1946.27697122	-21.69794872	153.924319333
1982.4229705	-21.12635079	149.469511376
2018.57115539	-20.58082327	145.295757591
2054.71934028	-20.03529575	141.297405591
2090.86096832	-19.41155698	137.146904702
2127.00479005	-18.81388863	133.284419659
2163.16390302	-18.39871319	129.635078009
2199.33175844	-18.08781941	126.214346195
2235.48650017	-17.62050314	123.082335096
2271.64561314	-17.2053277	119.802427598
2307.80472611	-16.79015226	116.536632248
2343.96602469	-16.40104724	113.47498273
2380.13170256	-16.06408304	110.90946954
2416.30392922	-15.8053301	107.943993957
2452.46522779	-15.41622508	105.475929167
2488.62871199	-15.05319047	103.227027348
2524.79219618	-14.69015586	100.747901656
2560.95568038	-14.32712125	98.4374599949
2597.11697896	-13.93801623	96.4314880908
2633.28921368	-13.67926328	94.4451297474
2669.4570691	-13.36836951	92.1536345937
2705.62711015	-13.08354615	90.3381263268
2741.79715119	-12.79872279	88.4062055343
2777.96500661	-12.48782901	86.3975139121
2814.13286204	-12.17693524	84.3578974749
2850.30509675	-11.91818229	82.339548484
2886.47076656	-11.5812181	80.5176031898
2922.63862199	-11.27032432	78.9142240109
2958.82833357	-11.22013471	77.5344976081
2994.99837461	-10.93531135	76.1045380687
3031.17934372	-10.78084007	74.5850332637
3067.34720721	-10.46994629	73.0417131237
3103.52380509	-10.26333418	71.5518215821
3139.69821736	-10.03065165	70.6186228265
3175.87481525	-9.824039541	69.4627236064
3212.05141314	-9.617427429	68.3035485505
3248.23456786	-9.489026565	67.2249531015
3284.42210189	-9.412766533	65.927480424
3320.58995731	-9.101872757	64.6187387372
3356.75781274	-8.790978981	63.4059852651
3392.95189555	-8.792930197	62.2720179605
3429.12630782	-8.560247669	60.8017780939
3465.30072009	-8.327565141	59.8002673458
3501.48388288	-8.199164278	58.7721689694
3537.65829515	-7.96648175	57.5907363724
3573.83707865	-7.785940054	56.4961529204
3610.01804776	-7.631468774	55.3444846195
3646.20557373	-7.555208742	54.1860119813
3706.50719161	-7.297756609	52.5803123279
3742.6859751	-7.117214913	51.7815229836
3778.87350913	-7.040954881	50.9381581453
3815.05884947	-6.938624433	49.9986107539
3851.24637543	-6.862364401	49.232772647
3887.42078771	-6.629681873	48.6633134095
3923.61049928	-6.579492257	48.1728699043
3959.79365401	-6.451091394	47.4475536458
3995.97463119	-6.296620114	46.6965820341
4032.17089961	-6.324641746	45.9050363317
4068.33219819	-5.935536722	45.0703174305
4104.51972415	-5.85927669	44.1848173528
4140.7050645	-5.756946242	43.1606373442
4176.89696975	-5.732827042	42.459896766
4213.06701079	-5.448003682	41.9715682186
4249.25890798	-5.423884482	41.4306741456
4285.45736201	-5.477976531	40.7259974426
4321.64270236	-5.375646083	40.1098789637
4357.81930024	-5.169033971	39.4876553063
4394.00683427	-5.092773939	38.706470684
4424.1456183	-4.820660584	38.1605173012
4490.49816372	-4.78513219	38.270110291
4526.6878753	-4.734942574	37.0273094317
4562.87103003	-4.60654171	35.8404723491
4599.03888546	-4.295647934	36.5879199402
4635.24826756	-4.480092062	35.1523328608
4671.44235844	-4.482043279	33.9994587093
4707.63644124	-4.483994495	34.9049583576
4743.79118298	-4.016678223	35.0021241229
4779.99400824	-4.122911103	32.9805907971
4810.16339894	-4.215783573	34.198334574

