#1/cm,e1,e2
,,
2748.07,-13.278,28.035
2740.35,-13.32,28.155
2732.64,-13.363,28.275
2724.92,-13.405,28.396
2719.14,-13.437,28.487
2711.42,-13.48,28.609
2703.71,-13.523,28.732
2696,-13.566,28.856
2688.28,-13.609,28.98
2682.5,-13.642,29.074
2674.78,-13.685,29.2
2667.07,-13.729,29.327
2661.28,-13.762,29.422
2653.57,-13.806,29.55
2645.86,-13.85,29.679
2640.07,-13.884,29.776
2632.36,-13.928,29.907
2626.57,-13.962,30.005
2618.86,-14.007,30.137
2611.14,-14.052,30.269
2605.36,-14.086,30.369
2597.65,-14.131,30.503
2591.86,-14.165,30.604
2584.15,-14.211,30.74
2578.36,-14.246,30.842
2572.58,-14.28,30.945
2564.86,-14.326,31.082
2559.08,-14.361,31.186
2551.36,-14.408,31.326
2545.58,-14.443,31.431
2539.79,-14.478,31.536
2532.08,-14.525,31.678
2526.29,-14.561,31.785
2520.51,-14.596,31.892
2512.79,-14.644,32.036
2507.01,-14.68,32.144
2501.22,-14.716,32.254
2495.44,-14.752,32.363
2487.72,-14.8,32.51
2481.94,-14.837,32.621
2476.15,-14.873,32.733
2470.37,-14.91,32.845
2464.58,-14.947,32.957
2458.8,-14.983,33.071
2451.08,-15.033,33.222
2445.3,-15.07,33.337
2439.51,-15.107,33.452
2433.73,-15.145,33.568
2427.94,-15.182,33.684
2422.15,-15.22,33.801
2416.37,-15.258,33.918
2410.58,-15.296,34.037
2404.8,-15.334,34.155
2399.01,-15.372,34.275
2393.23,-15.411,34.395
2387.44,-15.449,34.515
2381.66,-15.488,34.636
2375.87,-15.527,34.758
2370.09,-15.566,34.881
2364.3,-15.605,35.004
2358.52,-15.644,35.128
2354.66,-15.671,35.211
2348.87,-15.71,35.336
2343.09,-15.75,35.461
2337.3,-15.789,35.587
2331.52,-15.829,35.714
2325.73,-15.87,35.842
2321.87,-15.896,35.927
2316.09,-15.937,36.056
2310.3,-15.977,36.185
2304.52,-16.018,36.315
2300.66,-16.045,36.403
2294.88,-16.086,36.534
2289.09,-16.127,36.666
2283.31,-16.168,36.799
2279.45,-16.196,36.887
2273.66,-16.237,37.022
2267.88,-16.279,37.156
2264.02,-16.306,37.246
2258.24,-16.348,37.382
2252.45,-16.39,37.519
2248.59,-16.418,37.611
2242.81,-16.461,37.749
2238.95,-16.489,37.841
2233.17,-16.531,37.98
2227.38,-16.574,38.12
2223.52,-16.603,38.214
2217.74,-16.646,38.356
2213.88,-16.674,38.45
2208.09,-16.718,38.593
2204.24,-16.746,38.689
2198.45,-16.79,38.833
2194.6,-16.819,38.929
2188.81,-16.863,39.075
2184.95,-16.892,39.172
2179.17,-16.936,39.319
2175.31,-16.965,39.417
2169.53,-17.009,39.565
2165.67,-17.039,39.665
2159.88,-17.083,39.814
2156.03,-17.113,39.914
2152.17,-17.142,40.015
2146.38,-17.187,40.167
2142.53,-17.217,40.268
2138.67,-17.247,40.37
2132.88,-17.292,40.524
2129.03,-17.323,40.626
2123.24,-17.368,40.781
2119.39,-17.398,40.885
2115.53,-17.429,40.989
2109.74,-17.475,41.146
2105.89,-17.506,41.251
2102.03,-17.536,41.357
2098.17,-17.567,41.463
2092.39,-17.614,41.622
2088.53,-17.645,41.729
2084.67,-17.676,41.837
2080.82,-17.707,41.944
2075.03,-17.754,42.107
2071.17,-17.786,42.216
2067.32,-17.818,42.325
2063.46,-17.849,42.435
2057.67,-17.897,42.6
2053.82,-17.929,42.711
2049.96,-17.961,42.822
2046.1,-17.993,42.934
2042.25,-18.025,43.046
2038.39,-18.058,43.158
2032.6,-18.107,43.328
