#Frequency	Eps1	Eps2
100.281	-2057.76902002802	371.378412735607
100.924	-2038.20254943924	357.464957757954
101.567	-2018.93331150893	342.882627966682
102.21	-1999.95569659227	329.737827344553
102.852	-1983.48273311814	317.483760209995
103.495	-1978.73003133488	308.243072227092
104.138	-1972.72071366497	263.867476761671
104.781	-1942.36743025166	226.842532159798
105.424	-1905.50666028899	194.289792744413
106.067	-1858.19303367582	163.869775851593
106.709	-1799.47831319699	148.516791463692
107.352	-1743.08844112437	156.932140066645
107.995	-1704.82415789974	180.839608897579
108.638	-1688.22706515083	202.33570947596
109.281	-1683.96837155777	209.359016288587
109.924	-1678.81065503853	201.412431015144
110.566	-1666.05636687803	187.63860106883
111.209	-1647.82977181294	174.057267303314
111.852	-1626.779332692	160.452325575844
112.495	-1602.79708272847	146.895672565844
113.138	-1573.98926365689	133.222099612693
113.781	-1535.2910197648	123.65253021011
114.423	-1506.16715281157	141.589257849003
115.066	-1492.48102882299	139.657889747123
115.709	-1472.88695363932	136.908484107369
116.352	-1452.5914193528	134.081463686936
116.995	-1431.83155142091	131.209256934817
117.637	-1410.42399939087	128.270194263744
118.28	-1387.63282446669	125.166490938357
118.923	-1358.91708833126	121.29010238546
119.566	-1325.73867225988	130.853537541623
120.209	-1308.03134931716	157.950170253973
120.852	-1307.44063804262	167.45490540895
121.494	-1303.06064553623	166.609342431033
122.137	-1293.79803526748	164.823717602292
122.78	-1282.98462804413	162.750772895662
123.423	-1271.14355734484	160.489687270623
124.066	-1258.21990001108	158.0352829523
124.709	-1240.21993272831	154.636823903711
125.351	-1230.21379725931	169.876727436209
125.994	-1227.5409092218	157.608741971275
126.637	-1208.76013385375	153.508045431392
127.28	-1192.20295458703	158.740273422211
127.923	-1183.40570106493	165.30401737779
128.566	-1177.25729854639	164.467504456525
129.208	-1165.86893502692	162.068912077953
129.851	-1151.67134726347	166.674178725605
130.494	-1145.63533604791	180.911092882936
131.137	-1155.50818358341	190.523722388656
131.78	-1172.75127195344	180.504499437855
132.423	-1177.67077086134	150.333736037303
133.065	-1160.66093001999	120.819989547864
133.708	-1132.02971833001	105.302140690508
134.351	-1104.76690936439	103.558843751116
134.994	-1084.17760372233	107.443520651285
135.637	-1069.82409812827	113.140601710856
136.279	-1060.89746032008	117.149899916486
136.922	-1054.91030334982	116.539178555041
137.565	-1045.84585907385	109.346105134302
138.208	-1030.23742644376	104.308477313173
138.851	-1013.66942364756	106.128729102667
139.494	-1002.55118244484	112.217561664982
140.136	-997.047955562854	114.476142649219
140.779	-990.945177115392	110.968321219406
141.422	-980.570545096096	106.463430639422
142.065	-968.396887599937	105.156280928141
142.708	-956.887688006703	104.609390941268
143.351	-945.727189632135	104.738894557711
143.993	-933.817609952089	104.039770877114
144.636	-919.783178261142	105.459127156554
145.279	-905.206942355022	110.933929287204
145.922	-893.893825990425	122.486848562393
146.565	-890.096417508248	135.967847107899
147.208	-893.852815330301	146.073558530603
147.85	-900.412919767654	147.700963992026
148.493	-903.626695913715	144.735024533361
149.136	-904.782065987936	143.446178882933
149.779	-910.231556109702	143.49149302857
150.422	-922.033680452281	136.028610227592
151.065	-931.006860379838	113.168458866043
151.707	-924.238144089136	82.3219164239445
152.35	-901.444399439726	58.8734669491631
152.993	-873.889395174343	49.9174684156633
153.636	-851.235426457692	50.7304764493568
154.279	-835.148001618523	53.2970534936492
154.921	-821.316505684762	53.2798669809733
155.564	-806.11975102827	53.3264572439549
156.207	-789.074743446609	55.322455724891
156.85	-772.008451037502	62.8169512870699
157.493	-759.236977024349	75.7266394344658
158.136	-754.122568084776	90.7902317664004
158.778	-757.15314045888	102.441191275882
159.421	-764.675146935719	105.666575519917
160.064	-769.684901721887	99.4293348640144
160.707	-767.447399548616	89.8585383269125
161.35	-758.803188455707	81.7534504734603
161.993	-746.966408763154	78.4679638474671
162.635	-735.531412603223	79.3543104783903
163.278	-725.558767825254	82.5751807319923
163.921	-717.605420911133	88.3741947677669
164.564	-713.386455556625	95.8055562814069
165.207	-713.632603696973	102.159807883609
165.85	-717.538782861038	105.205185012551
166.492	-722.133899801543	102.007603280076
167.135	-723.073620672925	94.6806684628837
167.778	-719.625307962583	87.4406023062238
168.421	-714.577511307	82.8530918650821
169.064	-711.008608614682	79.241482800964
169.707	-707.840689856231	72.5776822643424
170.349	-701.767060215775	64.1604216854338
170.992	-691.888445599837	56.3211396731146
171.635	-679.494209867962	51.6649998885753
172.278	-666.902911805506	50.2345548802621
172.921	-654.463391177831	50.5078407944743
173.563	-642.399942072746	54.0040506605851
174.206	-632.789979526261	60.6092257721068
174.849	-627.291938875127	68.4512844209379
175.492	-625.690198555977	74.5388022873817
176.135	-625.630505460425	77.1825648396176
176.778	-624.926500198476	77.5821155619221
177.42	-623.183570079551	77.0803976354901
178.063	-620.8766628977	76.4753028565405
178.706	-618.321958379027	75.4800746334938
179.349	-615.594290298995	74.4611532781994
179.992	-612.438588448089	72.6871181720389
180.635	-608.466366005776	71.4704284920525
181.277	-604.707978340737	71.1424459274943
181.92	-601.948166825908	70.9870076162728
182.563	-600.013142665559	69.8146232222298
183.206	-597.722679093647	67.1069542217646
183.849	-594.236363410278	63.9113980107577
184.492	-589.521744311968	60.7398873460256
185.134	-584.063130101613	58.6293064287296
185.777	-578.350290952794	56.9902700649863
186.42	-572.535302532733	56.4383867737082
187.063	-567.101550582895	56.5432599991338
187.706	-562.353743335201	57.4772239131739
188.349	-558.703180857193	58.5480556636007
188.991	-556.122329124628	59.3202163734549
189.634	-554.567916487524	59.2180126135759
190.277	-553.181190626612	57.095862978569
190.92	-550.4709487617	53.4909957193091
191.563	-545.67251246786	49.5135849616688
192.205	-538.988135092883	46.790075663922
192.848	-531.658689532166	46.2479163938617
193.491	-525.044298570859	47.6694158054075
194.134	-520.282290508691	50.4722960712956
194.777	-517.623354692194	52.7256980405772
195.42	-516.199842327217	53.6928439730171
196.062	-514.890206911919	52.7007928075463
196.705	-512.201491536186	50.3375440016425
197.348	-507.758188294224	48.4022531845443
197.991	-502.742055451649	48.0639192676943
198.634	-498.50554535136	48.8281888723122
199.277	-495.399921593901	49.6073902353968
199.919	-492.925201322339	49.6041606959549
200.562	-490.146835569773	48.6971453704111
201.205	-486.668613352402	47.8180364930477
201.848	-482.69457641435	47.2324653178547
202.491	-478.731504636533	47.5903090518375
203.134	-475.425756684294	48.260519863231
203.776	-472.613099458915	48.75481201077
204.419	-470.11579716646	49.1702074329231
205.062	-467.934432233235	49.2827217043841
205.705	-465.971353568512	49.0855429887006
206.348	-464.164230637853	48.3493587973566
206.991	-462.087248941085	46.7976811720532
207.633	-458.939586379078	44.6652579955839
208.276	-454.629582795038	43.3855821884948
208.919	-450.362349780812	43.5245294816363
209.562	-447.011782313199	44.2047670397374
210.205	-444.539577625157	44.6792000090706
210.847	-442.476121354393	44.3679951560662
211.49	-439.895471335136	43.1518673630034
212.133	-436.415828484208	42.2314834310682
212.776	-432.823742609244	42.1141379815848
213.419	-429.578325907252	42.1393444747965
214.062	-426.359450909777	42.0614908114308
214.704	-422.888501722039	42.1333718963838
215.347	-419.331841926792	42.8556262394167
215.99	-416.234456335087	44.2911183698553
216.633	-414.349255152563	46.2709018551433
217.276	-413.765532721154	47.2183937968506
217.919	-413.372090659228	46.6762194461822
218.561	-412.047973677946	44.8478698114998
219.204	-409.173871951284	42.9803308284848
219.847	-405.332293719785	42.283541872844
220.49	-401.751351792761	42.9923869901555
221.133	-399.128883754551	44.1890629404392
221.776	-397.449753338808	45.3410059418383
222.418	-396.393433407761	45.7846118127307
223.061	-395.34310721294	45.5132568636562
223.704	-393.987614486824	44.8368175423182
224.347	-392.288129446068	44.0201339983094
224.99	-390.356514768449	43.2593915328445
225.633	-388.242094768636	42.4760848050769
226.275	-385.8087429903	41.8204260107566
226.918	-383.416263073215	41.8540473460087
227.561	-381.56467359228	41.9710295458307
228.204	-380.236186486817	41.9190696249779
228.847	-378.98435348384	40.9630065104618
229.49	-377.172244467429	39.7611268251025
230.132	-374.95253027665	38.6747949733565
230.775	-372.595434879648	37.8252247857397
231.418	-370.001650546843	36.8703606296181
232.061	-367.181267420696	36.5283639247179
232.704	-364.667538887128	36.5447212669673
233.346	-362.579041079948	36.6189832125794
233.989	-360.707222977824	36.3354891246198
234.632	-358.649642667779	35.7958287763071
235.275	-356.310080309517	35.3701605126407
235.918	-353.989130257057	35.3240945364157
236.561	-352.027677931946	35.4018385664657
237.203	-350.34693450567	35.1484145670332
237.846	-348.464043122436	34.4264642955273
238.489	-346.022762293105	33.7035066634388
239.132	-343.328181981195	33.5960130626167
239.775	-340.852972910586	33.8694281817155
240.418	-338.768384819691	34.4004774517192
241.06	-337.073736940068	34.7687484839762
241.703	-335.560869552812	34.9501939004247
242.346	-334.106327563772	34.8606778378535
242.989	-332.499164641658	34.5408279149206
243.632	-330.622472568638	34.2484559600218
244.275	-328.659975467118	34.2792996669205
244.917	-326.885109767086	34.5343917971286
245.56	-325.563925063005	34.9874348090155
246.203	-324.678893534947	34.9103507084554
246.846	-323.668148978411	34.2877845585835
247.489	-322.335662408061	33.489012865506
248.132	-320.700141120582	32.5875730150429
248.774	-318.73289175719	31.7759846196975
249.417	-316.59059790925	31.2661127580809
250.06	-314.447763089733	30.9490219954756
250.703	-312.343488596241	30.8248329890723
251.346	-310.354972759298	30.8382692583669
251.988	-308.417727992068	30.8545021808633
252.631	-306.562730337453	31.1200362627346
253.274	-304.985076303981	31.4198461773871
253.917	-303.538642810752	31.5537316414075
254.56	-302.157767263772	31.7531886510665
255.203	-301.009864867865	31.9253952865061
255.845	-300.169013963671	31.9091361375086
256.488	-299.3811753736	31.2576759468474
257.131	-298.123223749579	30.1907431542105
257.774	-296.33140268714	29.2301422471953
258.417	-294.212477219578	28.5201376098606
259.06	-291.940114731537	28.1903672817775
259.702	-289.661252645388	28.1932119797623
260.345	-287.549876183049	28.6534198382993
260.988	-285.945803408508	29.3941886179618
261.631	-284.838569657026	29.8738706948114
262.274	-283.916918373172	29.9988954503932
262.917	-282.891278310564	29.7291831828015
263.559	-281.625689570007	29.4229934843827
264.202	-280.220117882571	29.1499540510618
264.845	-278.802391980194	29.0340597018798
265.488	-277.436973192641	28.8731449571675
266.131	-276.088540513793	28.7661288687667
266.774	-274.73388970409	28.5545846637566
267.416	-273.306893298521	28.4343880986322
268.059	-271.976190913199	28.4293279800393
268.702	-270.765500897939	28.2899774241147
269.345	-269.439754161628	27.9824933440191
269.988	-267.91040792768	27.7939979238945
270.63	-266.410212146731	27.90418710127
271.273	-265.211218926228	28.1548997881061
271.916	-264.28686266073	28.1535762718133
272.559	-263.299554230968	27.8025976250814
273.202	-261.995836740338	27.3571381325126
273.845	-260.513769346744	27.2200771309088
274.487	-259.270788474453	27.3556062780999
275.13	-258.298491412026	27.2484662299845
275.773	-257.307488838215	26.9054200248289
276.416	-256.119246393275	26.3492537000284
277.059	-254.683431163318	25.8529085310431
277.702	-252.980947273701	25.3675953654855
278.344	-251.119289031701	25.3571213553004
278.987	-249.401781644447	25.586322765086
279.63	-247.909679071675	26.0620855204787
280.273	-246.643223394989	26.4755399768298
280.916	-245.514082045741	26.9902572598118
281.559	-244.641819027642	27.4967322655197
282.201	-243.998828789206	27.8636683942402
282.844	-243.530720907537	28.0423275913909
283.487	-243.117043402079	27.8847031193188
284.13	-242.580074306269	27.4923688816142
284.773	-241.845631725873	26.9410492544294
285.416	-240.890394469396	26.4004029671234
286.058	-239.832227382456	25.9745612794876
286.701	-238.751226145669	25.5904237689088
287.344	-237.653633805498	25.2484583365946
287.987	-236.534761620685	24.9059254542096
288.63	-235.356002997921	24.5974416177855
289.272	-234.158101720068	24.4100072347228
289.915	-233.117273272537	24.3683085082491
290.558	-232.217718637893	24.1073051806093
291.201	-231.277688405731	23.7625282152083
291.844	-230.237168179894	23.2477253546369
292.487	-228.979529369779	22.7448098719535
293.129	-227.579858904914	22.3819171778343
293.772	-226.096558774221	22.1636639022792
294.415	-224.634676552545	22.2151357068695
295.058	-223.387428514119	22.4448331489054
295.701	-222.410360319199	22.6348169797594
296.344	-221.53506291131	22.575993834399
296.986	-220.551326326799	22.3889119948193
297.629	-219.428805824102	22.2183113028799
298.272	-218.258883157625	22.1866765697819
298.915	-217.106605747268	22.228243363521
299.558	-216.156438681609	22.5135273133873
300.201	-215.416711028129	22.4695334738249
300.843	-214.577689162479	22.3385436044527
301.486	-213.639408815185	22.1571865912961
302.129	-212.672263962138	22.1121522315463
302.772	-211.76318270176	22.0402067775587
303.415	-210.951141509879	22.0524759758411
304.058	-210.229738705967	21.8360206978782
304.7	-209.427938252855	21.5399634930114
305.343	-208.507004328942	21.1260204461814
305.986	-207.408418365101	20.7571854047079
306.629	-206.203377751455	20.5098525324732
307.272	-204.965755650604	20.425096250362
307.914	-203.870685209352	20.5577536924573
308.557	-202.982735281318	20.5871618920627
309.2	-202.089537300479	20.4516056086262
309.843	-201.105548206307	20.3026602665024
310.486	-199.995715629026	20.1350665837048
311.129	-198.869063881139	20.2507311452178
311.771	-197.944392128691	20.3933116836695
312.414	-197.102529317667	20.4200807400093
313.057	-196.252082524783	20.4127004009117
313.7	-195.405923274098	20.3737040539428
314.343	-194.544436710916	20.3008071637416
314.986	-193.658540847924	20.223420489636
315.628	-192.750989408829	20.14227230753
316.271	-191.834592838265	20.0892031860135
316.914	-190.902485268467	20.0030414765212
317.557	-189.889468309867	19.9330970715593
318.2	-188.842238153004	20.0039085709973
318.843	-187.854409196236	20.1685512959564
319.485	-187.00959740516	20.4391092728785
320.128	-186.299091001655	20.5827469005715
320.771	-185.589474306709	20.6663794086895
