#"Mobility (cm^2/Vsec)(Log Doping), created by Plot Digitizer, 2.5.0 dev"
#"Date: 11/8/12, 12:01:56 AM"
#
#
#14
#Log10 of Impurity Concentration (cm^-3),Mobility (cm^2/Vsec)
22.00448,14.09794
21.70317,13.15051
21.34834,14.39394
20.99824,20.48424
20.85715,25.73952
20.67698,38.47519
20.47741,49.44448
20.00535,72.24805
19.83512,77.05637
19.47511,89.75244
19.00786,114.75971
18.85199,127.50073
18.48624,173.23526
18.01201,277.09579
