#Frequency	Eps1	Eps2
100.281	-118.909398362343	444.658118840103
100.924	-119.890866002598	442.552300937262
101.567	-120.904942576053	438.514580300243
102.21	-120.622943629048	433.499828554753
102.852	-119.159290780564	428.875719071441
103.495	-117.657767842722	425.067396944283
104.138	-116.615837398432	421.354371927702
104.781	-115.342277739297	417.179614368701
105.424	-113.097648382053	413.065317879949
106.067	-110.326122610185	409.888288412854
106.709	-107.824894349117	407.780251466641
107.352	-106.208400317339	406.219237876145
107.995	-105.151418023024	404.647722603384
108.638	-104.834987063208	402.866936343772
109.281	-104.701781318602	400.416008007656
109.924	-104.124405270533	397.541050944486
110.566	-103.067565265858	394.862219089222
111.209	-102.016012191182	392.717020097011
111.852	-101.572106971535	390.86499737051
112.495	-101.84573741028	388.52811791565
113.138	-101.796594745626	385.281470944129
113.781	-100.899359742761	381.724726366471
114.423	-99.0581733826218	378.643966876858
115.066	-97.1310727290796	376.56083059405
115.709	-95.6950989917458	375.191562984959
116.352	-95.1744459768972	373.954072727429
116.995	-95.0978539753764	372.141580986967
117.637	-94.6623869409363	369.85532308544
118.28	-93.9088208484999	367.685332143053
118.923	-93.1331825244444	365.818827410063
119.566	-92.6616376533231	364.132149788629
120.209	-92.5636327261319	362.233533394471
120.852	-92.4171754930122	359.821695369154
121.494	-91.7120208798389	357.060801265476
122.137	-90.1315744447833	354.536950382782
122.78	-88.0691412272951	352.996494495033
123.423	-86.5817681375625	352.582896078537
124.066	-86.2258011802304	352.592916235276
124.709	-87.0624376467566	352.094974706668
125.351	-88.0311483524657	350.488167522381
125.994	-88.3810712396155	348.288560091487
126.637	-88.2629383320238	346.176782439896
127.28	-88.0548710972959	344.287751033695
127.923	-87.936618387106	342.399045479543
128.566	-87.5343357120157	340.405098918145
129.208	-86.7490729916059	338.75067463581
129.851	-86.2175856924	337.683891282472
130.494	-86.2907940093999	336.74703101337
131.137	-86.648175930652	335.525171426913
131.78	-86.9981605659282	334.122610996527
132.423	-87.5053098843676	332.71848794798
133.065	-88.4364079707114	331.047111337357
133.708	-89.3077955461929	328.707000030029
134.351	-89.6487361194829	325.89729991212
134.994	-89.1921057634755	323.153463091911
135.637	-88.4516724188085	320.972994111702
136.279	-87.9614832761586	319.154775511188
136.922	-87.5778521293887	317.280621054882
137.565	-86.9787533340273	315.413024939411
138.208	-86.2682103535981	313.855580493762
138.851	-85.7961157803596	312.646515110014
139.494	-85.8324912745012	311.452199557142
140.136	-86.0998806520993	309.854976742997
140.779	-86.181578346223	307.808641776211
141.422	-85.6856718397056	305.613863215162
142.065	-84.6093894015037	303.862652038566
142.708	-83.6631790534814	302.892432945188
143.351	-83.4115840852343	302.294713100534
143.993	-83.7280729376415	301.490613478447
144.636	-84.3731430967026	300.18939111548
145.279	-84.8052534734376	298.3530185221
145.922	-84.8464596009433	296.283090333084
146.565	-84.2960464275479	294.370221797098
147.208	-83.6757474942305	293.022959152011
147.85	-83.4513651537808	292.045512863586
148.493	-83.8028818122281	290.940002920246
149.136	-84.2891343193753	289.286216989352
149.779	-84.412122370533	287.19692956769
150.422	-83.9626400540849	285.102112634734
151.065	-83.2000485609132	283.381161261671
151.707	-82.4088531849484	282.114842201064
152.35	-81.9479440821662	281.162541364439
152.993	-81.8104217408438	280.188675916719
153.636	-81.8000119543722	279.043835172326
154.279	-81.7000914717567	277.805907476521
154.921	-81.566654284159	276.668456068414
155.564	-81.5573810880488	275.692910528481
156.207	-81.9721394556192	274.710915884819
156.85	-82.7151821399429	273.294726018463
157.493	-83.2997586018601	271.282099968192
158.136	-83.4282165934759	268.855137576866
158.778	-82.7702639960729	266.367199964612
159.421	-81.4525940122818	264.370595716958
160.064	-79.9382483561175	263.18453789873
160.707	-78.7902408644194	262.759418259663
161.35	-78.4379983608796	262.641429387574
161.993	-78.6843169691029	262.266057292405
162.635	-79.124665660394	261.499654986359
163.278	-79.6711152179657	260.414437963866
163.921	-80.1611481715098	258.991992993887
164.564	-80.4656111070644	257.284380832103
165.207	-80.3805362762882	255.431847077179
165.85	-79.8574157438251	253.778555424805
166.492	-79.3040987864128	252.561466533302
167.135	-79.0365065305612	251.618385777342
167.778	-79.2233540829785	250.582169242131
168.421	-79.569192562112	249.054704911539
169.064	-79.4857515044394	247.078762401242
169.707	-78.777982264753	245.15481684673
170.349	-77.7396364525817	243.679843815454
170.992	-76.6836463571884	242.763507732051
171.635	-76.1766321822239	242.181311450258
172.278	-76.0410323963595	241.391198695848
172.921	-75.9260622702269	240.245786255738
173.563	-75.4083813972544	238.987878263197
174.206	-74.6935448650765	238.054550313187
174.849	-74.2182615930441	237.442158138208
175.492	-74.0937527823403	236.805610948136
176.135	-74.0514864608121	235.922576547254
176.778	-73.8645129836207	234.903794717455
177.42	-73.56953167743	233.93125465787
178.063	-73.2494427442382	233.045577724979
178.706	-72.95345601947	232.240108897473
179.349	-72.7345628691594	231.49016285542
179.992	-72.6135801150838	230.734404395658
180.635	-72.5630264275573	229.907501903475
181.277	-72.4972929834903	228.990679335078
