#frequencies, real part, imaginary part

923.333333333,	0.572744602625,	-0.0963488577371
926.666666667,	0.508412967603,	0.0517551453719
930.0,	0.499259916149,	-0.0530870338635
933.333333333,	0.585306645655,	-0.142679385503
936.666666667,	0.522866075898,	-0.0705355023607
940.0,	0.594569685176,	-0.0485909060924
943.333333333,	0.487308267057,	0.00991096121308
946.666666667,	0.629977474062,	0.0709786536891
950.0,	0.504187104683,	-0.0579164215898
953.333333333,	0.603667395606,	-0.0623393622453
956.666666667,	0.570617121724,	-0.0180990576763
960.0,	0.565296398307,	-0.0113108348646
963.333333333,	0.611452011066,	-0.0122019639752
966.666666667,	0.659163512039,	0.0435576373221
970.0,	0.649958413463,	0.0460959841235
973.333333333,	0.6492048854,	0.0212373340973
976.666666667,	0.638720977958,	0.0572893684523
980.0,	0.626507477163,	0.022009938675
983.333333333,	0.674378120343,	0.0484513279005
986.666666667,	0.695760669043,	0.0356680175742
990.0,	0.726628967103,	0.0432521335639
993.333333333,	0.729492114101,	0.0772596503084
996.666666667,	0.763765674955,	0.0605282497621
1000.0,	0.796314237787,	0.099477469355
1003.33333333,	0.759676904827,	0.0837450308249
1006.66666667,	0.830108177096,	0.142022752658
1010.0,	0.841246857405,	0.14232352217
1013.33333333,	0.84146330066,	0.180234246495
1016.66666667,	0.870809173873,	0.190054384814
1020.0,	0.873465825014,	0.199123541372
1023.33333333,	0.918794121852,	0.228520694463
1026.66666667,	0.93188069385,	0.298222545077
1030.0,	0.961859174794,	0.316649094238
1033.33333333,	0.976806924614,	0.32873510018
1036.66666667,	0.963807825097,	0.36783915553
1040.0,	0.985483757407,	0.362954184465
1043.33333333,	0.995103754082,	0.404241966808
1046.66666667,	1.01558987933,	0.490428760777
1050.0,	1.02447475319,	0.512131198133
1053.33333333,	1.01746800937,	0.528141248888
1056.66666667,	1.05367920444,	0.603167343293
1060.0,	1.04002771778,	0.632112062252
1063.33333333,	1.06031268522,	0.681005239756
1066.66666667,	1.05252504207,	0.733578244323
1070.0,	1.06599437017,	0.779239185515
1073.33333333,	1.0684077676,	0.839878101919
1076.66666667,	1.07062039088,	0.894257744861
1080.0,	1.07969460023,	0.939474108768
1083.33333333,	1.07192919028,	1.00847628784
1086.66666667,	1.07303251686,	1.0280696111
1090.0,	1.07125636727,	1.13327191748
1093.33333333,	1.16573529333,	1.21215816779
1096.66666667,	1.11348115925,	1.26794321383
1100.0,	1.16946534802,	1.39935492551
1103.33333333,	1.18687685613,	1.46988429011
1106.66666667,	1.20709404233,	1.70235122042
1110.0,	1.3033623173,	1.89035954361
1113.33333333,	1.30725688358,	2.28663972068
1116.66666667,	1.08717284502,	2.78156794946
1120.0,	0.707716210754,	3.22795229875
1123.33333333,	0.158309182911,	3.71356707181
1126.66666667,	-0.789373510519,	4.00696050947
1130.0,	-1.92478496383,	3.79402183201
1133.33333333,	-2.93253431547,	3.06836221983
1136.66666667,	-3.34883010333,	2.29622736066
1140.0,	-3.44563464075,	1.13660387748
1143.33333333,	-3.29683878069,	0.380792690203
1146.66666667,	-2.76060178342,	-0.120106172898
1150.0,	-2.24370201496,	-0.498457624757
1153.33333333,	-1.79546093644,	-0.602836516162
1156.66666667,	-1.43199696605,	-0.652443300414
1160.0,	-1.1854360447,	-0.580435925604
1163.33333333,	-0.960447684971,	-0.532458642931
1166.66666667,	-0.752507809251,	-0.45854645204
1170.0,	-0.64548646132,	-0.41365413963
1173.33333333,	-0.574352875732,	-0.407732104977
1176.66666667,	-0.458559760753,	-0.308810107531
1180.0,	-0.420704018023,	-0.329509667894
1183.33333333,	-0.396482558548,	-0.206640291164
1186.66666667,	-0.312691458784,	-0.240379166063
1190.0,	-0.308324841619,	-0.200035575841
1193.33333333,	-0.294602624914,	-0.146881452977
1196.66666667,	-0.259176552308,	-0.152624869784
1200.0,	-0.260672884436,	-0.154329109596
1203.33333333,	-0.244784070553,	-0.10831661891
1206.66666667,	-0.178464361572,	-0.123867867874
1210.0,	-0.230186023311,	-0.071145638332
1213.33333333,	-0.243851968857,	-0.0722078776112
1216.66666667,	-0.218642121338,	-0.0989215914268
1220.0,	-0.221517526026,	0.00102612804841
1223.33333333,	-0.194269528838,	0.0157651131698

