#Freqs, Real S2, Imag S2

800.0,	0.100118308626,	-0.271178165948
803.333333333,	0.104397783704,	-0.296238980644
806.666666667,	0.127752226269,	-0.335210176399
810.0,	0.16317386407,	-0.374739456458
813.333333333,	0.200581469751,	-0.406081279119
816.666666667,	0.250349871214,	-0.428764001556
820.0,	0.326248369292,	-0.443358383422
823.333333333,	0.418462916631,	-0.438241761238
826.666666667,	0.501772130228,	-0.398923241652
830.0,	0.56841993642,	-0.33269061153
833.333333333,	0.601437586799,	-0.247875244422
836.666666667,	0.577513210887,	-0.170589595893
840.0,	0.510296009315,	-0.13863315242
843.333333333,	0.447120416201,	-0.155874846207
846.666666667,	0.418356167045,	-0.194098925183
850.0,	0.425597087285,	-0.232391642248
853.333333333,	0.468312789438,	-0.264551786365
856.666666667,	0.548058765182,	-0.28380756821
860.0,	0.660170342227,	-0.274000051716
863.333333333,	0.784929576068,	-0.21856085825
866.666666667,	0.897990454428,	-0.10956572224
870.0,	0.981112652362,	0.0544100056565
873.333333333,	1.01045117627,	0.267651494702
876.666666667,	0.946469659822,	0.500840515631
880.0,	0.776395103421,	0.682786421284
883.333333333,	0.551506731238,	0.739266456569
886.666666667,	0.365241577937,	0.663883364836
890.0,	0.271710402272,	0.531062412005
893.333333333,	0.243791761346,	0.430813005101
896.666666667,	0.235146385576,	0.391077084446
900.0,	0.222155944371,	0.376476631161
903.333333333,	0.204469091026,	0.35857649791
906.666666667,	0.189056197376,	0.335907847735
910.0,	0.177618929488,	0.317403133619
913.333333333,	0.167064361623,	0.305967612746
916.666666667,	0.156977856357,	0.293673377258
920.0,	0.152926760393,	0.271255276249
923.333333333,	0.16032173073,	0.243206739471
926.666666667,	0.177216732214,	0.232892514277
930.0,	0.192841846009,	0.260240451353
933.333333333,	0.186668585253,	0.317124597796
936.666666667,	0.146136707148,	0.370858722236
940.0,	0.0840848637298,	0.394395209154
943.333333333,	0.0226978261394,	0.387489762507
946.666666667,	-0.0314461256142,	0.365017970717
950.0,	-0.0986219106135,	0.340748828476
953.333333333,	-0.179184648623,	0.285888402678
956.666666667,	-0.199009428288,	0.180765573179
960.0,	-0.117419617856,	0.103325781663
963.333333333,	-0.0218555831203,	0.0764636635273
966.666666667,	0.00297347901514,	0.0934256284398
970.0,	0.00235370712205,	0.123214101045
973.333333333,	-0.019024151394,	0.146181804388
976.666666667,	-0.0655318079401,	0.154563725881
980.0,	-0.121611732507,	0.125350319294
983.333333333,	-0.137433351429,	0.0594475528303
986.666666667,	-0.0992080739534,	0.0104702243608
990.0,	-0.0535271969998,	0.00130679692611
993.333333333,	-0.0289272098011,	0.00498726668934
996.666666667,	-0.0175463996579,	0.00695463213795
1000.0,	-0.0104791632049,	0.00765897679683
1003.33333333,	-0.0038196343353,	0.00745431207488
1006.66666667,	0.00261396564792,	0.00446514996298
1010.0,	0.005552712176,	0.00363524720942
1013.33333333,	0.00850531764523,	0.00392233672066
1016.66666667,	0.0103838757008,	0.00358651775146
1020.0,	0.0115544516025,	0.00312586545896
1023.33333333,	0.012909753471,	0.00270119676007
1026.66666667,	0.0153355979959,	0.00244905100201
1030.0,	0.0175529080563,	0.00258281063324
1033.33333333,	0.0177499317867,	0.00293448074284
1036.66666667,	0.0175347729364,	0.0027970150075
1040.0,	0.0180020327328,	0.00210603938771
1043.33333333,	0.0180225686309,	0.00242363461278
1046.66666667,	0.017986834309,	0.00380072687873
1050.0,	0.0180174500519,	0.00343481906706
1053.33333333,	0.0165538296815,	0.00160919852619
1056.66666667,	0.0168728906671,	0.00171963441859
1060.0,	0.0165241325608,	0.00118030487393
1063.33333333,	0.0135603117355,	-0.00213690330338
1066.66666667,	0.0103073938163,	-0.00782112628197
1070.0,	0.00100441311694,	-0.0116339017625
1073.33333333,	0.000589893587403,	-0.0111626376361
1076.66666667,	0.0022773121312,	-0.0138469031286
1080.0,	0.00204132696846,	-0.0185382726892
1083.33333333,	0.00355388661334,	-0.0218356937235
1086.66666667,	0.00444047530687,	-0.0264659971124
1090.0,	0.00295829894918,	-0.0285338703433
1093.33333333,	0.00434669805804,	-0.0263830690849
1096.66666667,	0.00679514967567,	-0.0264631830487
1100.0,	0.00839092828741,	-0.0345310895104

